iter	Passed	Remaining
0	5	5138
1	9	4636
2	13	4554
3	17	4414
4	21	4261
5	24	4127
6	29	4145
7	33	4093
8	36	4022
9	40	3971
10	44	4005
11	48	3982
12	52	3950
13	56	3950
14	60	4004
15	64	3990
16	69	3995
17	73	4005
18	77	4026
19	82	4029
20	86	4012
21	90	4036
22	94	4034
23	99	4026
24	103	4020
25	107	4042
26	112	4049
27	116	4052
28	120	4043
29	125	4045
30	128	4031
31	133	4037
32	137	4031
33	141	4028
34	145	4017
35	149	4015
36	154	4015
37	158	4000
38	161	3987
39	165	3963
40	168	3948
41	172	3933
42	176	3930
43	180	3919
44	184	3911
45	187	3897
46	191	3884
47	195	3868
48	198	3850
49	202	3849
50	206	3833
51	209	3826
52	213	3811
53	217	3812
54	221	3800
55	224	3785
56	228	3785
57	232	3776
58	236	3778
59	240	3774
60	244	3759
61	248	3753
62	252	3762
63	256	3749
64	259	3737
65	263	3731
66	267	3730
67	271	3723
68	275	3711
69	278	3702
70	283	3708
71	287	3704
72	291	3699
73	295	3694
74	299	3699
75	304	3696
76	307	3689
77	312	3689
78	315	3682
79	319	3678
80	323	3669
81	327	3668
82	332	3668
83	335	3661
84	339	3657
85	344	3656
86	347	3651
87	351	3645
88	355	3643
89	360	3643
90	363	3635
91	368	3633
92	372	3635
93	377	3640
94	381	3638
95	386	3643
96	391	3648
97	396	3647
98	401	3652
99	405	3649
100	410	3650
101	414	3650
102	418	3648
103	423	3648
104	427	3645
105	432	3649
106	437	3647
107	442	3651
108	446	3649
109	451	3649
110	456	3652
111	460	3649
112	464	3646
113	469	3648
114	474	3650
115	478	3646
116	482	3642
117	487	3643
118	491	3641
119	496	3641
120	502	3649
121	506	3648
122	510	3642
123	514	3637
124	520	3641
125	524	3637
126	528	3631
127	532	3630
128	537	3628
129	541	3625
130	546	3623
131	551	3625
132	555	3619
133	559	3614
134	563	3611
135	568	3611
136	572	3607
137	577	3606
138	581	3602
139	585	3596
140	589	3588
141	592	3579
142	596	3574
143	600	3568
144	603	3560
145	607	3552
146	611	3548
147	615	3542
148	618	3534
149	622	3525
150	625	3518
151	630	3515
152	633	3508
153	637	3500
154	640	3494
155	645	3490
156	650	3490
157	653	3484
158	658	3480
159	662	3477
160	667	3476
161	671	3473
162	676	3472
163	681	3472
164	685	3469
165	690	3467
166	695	3467
167	699	3464
168	703	3460
169	709	3461
170	713	3458
171	717	3454
172	722	3451
173	726	3449
174	730	3445
175	734	3440
176	738	3435
177	743	3433
178	747	3428
179	751	3425
180	757	3425
181	761	3424
182	766	3423
183	772	3424
184	776	3422
185	782	3423
186	788	3428
187	793	3427
188	798	3426
189	803	3424
190	808	3423
191	813	3423
192	818	3423
193	824	3424
194	831	3431
195	837	3437
196	842	3436
197	848	3435
198	854	3438
199	859	3437
200	864	3437
201	870	3438
202	874	3433
203	878	3429
204	884	3428
205	888	3426
206	893	3424
207	898	3421
208	902	3417
209	907	3412
210	911	3408
211	916	3407
212	921	3405
213	925	3400
214	930	3396
215	935	3395
216	939	3390
217	943	3385
218	950	3388
219	955	3389
220	961	3389
221	965	3383
222	969	3376
223	974	3376
224	981	3380
225	987	3382
226	994	3385
227	998	3382
228	1003	3378
229	1010	3381
230	1018	3389
231	1024	3391
232	1030	3390
233	1035	3389
234	1042	3392
235	1047	3390
236	1052	3387
237	1057	3386
238	1062	3382
239	1066	3378
240	1072	3377
241	1077	3373
242	1081	3370
243	1087	3368
244	1092	3366
245	1097	3362
246	1103	3363
247	1108	3361
248	1113	3359
249	1119	3358
250	1124	3357
251	1129	3353
252	1135	3353
253	1140	3349
254	1145	3345
255	1149	3341
256	1154	3338
257	1158	3332
258	1163	3327
259	1168	3325
260	1172	3320
261	1178	3319
262	1184	3318
263	1189	3315
264	1194	3313
265	1201	3314
266	1207	3314
267	1212	3312
268	1218	3310
269	1223	3307
270	1228	3304
271	1233	3301
272	1237	3296
273	1242	3291
274	1246	3287
275	1250	3281
276	1254	3275
277	1259	3269
278	1263	3264
279	1267	3258
280	1271	3252
281	1275	3246
282	1279	3241
283	1283	3236
284	1287	3230
285	1291	3225
286	1296	3219
287	1300	3213
288	1303	3207
289	1307	3201
290	1311	3195
291	1315	3188
292	1319	3184
293	1323	3178
294	1327	3172
295	1331	3166
296	1335	3160
297	1339	3154
298	1343	3148
299	1347	3143
300	1351	3138
301	1355	3131
302	1359	3126
303	1363	3122
304	1367	3116
305	1371	3110
306	1375	3105
307	1379	3099
308	1382	3092
309	1386	3086
310	1390	3080
311	1394	3075
312	1398	3069
313	1402	3064
314	1407	3059
315	1411	3055
316	1415	3050
317	1421	3047
318	1425	3043
319	1429	3037
320	1433	3031
321	1437	3026
322	1440	3019
323	1444	3012
324	1448	3007
325	1452	3002
326	1456	2997
327	1459	2991
328	1464	2985
329	1468	2981
330	1472	2975
331	1475	2968
332	1479	2964
333	1484	2960
334	1489	2957
335	1494	2954
336	1500	2951
337	1504	2946
338	1508	2942
339	1513	2938
340	1518	2934
341	1522	2929
342	1527	2924
343	1532	2921
344	1536	2917
345	1541	2913
346	1545	2908
347	1550	2904
348	1554	2900
349	1559	2896
350	1564	2893
351	1569	2889
352	1574	2885
353	1580	2884
354	1585	2881
355	1591	2878
356	1596	2875
357	1601	2871
358	1604	2865
359	1609	2861
360	1613	2855
361	1616	2849
362	1620	2843
363	1624	2837
364	1628	2833
365	1632	2827
366	1636	2822
367	1641	2818
368	1645	2814
369	1649	2808
370	1653	2803
371	1658	2800
372	1662	2795
373	1666	2789
374	1671	2785
375	1676	2781
376	1680	2776
377	1684	2772
378	1689	2768
379	1694	2764
380	1698	2759
381	1702	2753
382	1706	2748
383	1710	2744
384	1718	2745
385	1725	2744
386	1731	2742
387	1739	2743
388	1745	2741
389	1751	2739
390	1756	2735
391	1760	2730
392	1765	2726
393	1772	2726
394	1776	2720
395	1780	2715
396	1784	2709
397	1788	2705
398	1792	2700
399	1796	2695
400	1801	2691
401	1805	2686
402	1810	2681
403	1815	2677
404	1820	2675
405	1825	2670
406	1830	2666
407	1834	2662
408	1838	2657
409	1843	2652
410	1848	2649
411	1852	2644
412	1856	2639
413	1860	2634
414	1866	2630
415	1870	2626
416	1874	2620
417	1880	2618
418	1884	2612
419	1887	2606
420	1891	2600
421	1895	2595
422	1899	2590
423	1902	2584
424	1905	2578
425	1909	2573
426	1913	2568
427	1917	2562
428	1920	2556
429	1925	2551
430	1928	2546
431	1932	2540
432	1935	2534
433	1939	2529
434	1944	2524
435	1948	2520
436	1953	2516
437	1957	2511
438	1961	2507
439	1966	2502
440	1970	2497
441	1976	2494
442	1981	2490
443	1985	2485
444	1989	2481
445	1993	2476
446	1997	2471
447	2002	2466
448	2006	2462
449	2011	2458
450	2015	2453
451	2019	2449
452	2024	2444
453	2028	2439
454	2032	2434
455	2037	2430
456	2041	2426
457	2045	2420
458	2050	2416
459	2054	2412
460	2058	2407
461	2063	2402
462	2067	2397
463	2071	2393
464	2075	2388
465	2080	2383
466	2084	2379
467	2098	2385
468	2103	2381
469	2107	2376
470	2111	2371
471	2115	2366
472	2120	2362
473	2123	2356
474	2128	2352
475	2132	2347
476	2136	2343
477	2140	2337
478	2145	2334
479	2150	2329
480	2154	2324
481	2158	2319
482	2162	2315
483	2167	2310
484	2170	2305
485	2174	2299
486	2178	2294
487	2182	2289
488	2185	2284
489	2189	2278
490	2192	2272
491	2196	2267
492	2200	2262
493	2203	2257
494	2207	2252
495	2211	2247
496	2217	2244
497	2223	2241
498	2227	2236
499	2232	2232
500	2236	2227
501	2241	2223
502	2245	2218
503	2250	2214
504	2254	2210
505	2259	2205
506	2263	2200
507	2268	2197
508	2272	2192
509	2276	2187
510	2281	2182
511	2285	2178
512	2289	2173
513	2293	2168
514	2298	2164
515	2303	2160
516	2307	2155
517	2311	2150
518	2316	2146
519	2320	2142
520	2324	2137
521	2328	2132
522	2334	2129
523	2337	2123
524	2341	2118
525	2344	2113
526	2348	2108
527	2351	2102
528	2355	2096
529	2358	2091
530	2362	2086
531	2366	2082
532	2371	2077
533	2375	2072
534	2380	2068
535	2384	2064
536	2388	2059
537	2392	2054
538	2397	2050
539	2401	2045
540	2405	2041
541	2409	2035
542	2414	2032
543	2419	2028
544	2423	2023
545	2427	2018
546	2431	2013
547	2435	2008
548	2439	2003
549	2444	1999
550	2448	1994
551	2451	1989
552	2455	1984
553	2460	1980
554	2464	1976
555	2468	1971
556	2475	1968
557	2478	1963
558	2482	1958
559	2485	1952
560	2488	1947
561	2493	1943
562	2497	1938
563	2500	1933
564	2505	1928
565	2509	1924
566	2513	1919
567	2517	1914
568	2521	1909
569	2525	1905
570	2529	1900
571	2533	1895
572	2537	1891
573	2542	1886
574	2545	1881
575	2550	1877
576	2554	1872
577	2558	1868
578	2562	1863
579	2566	1858
580	2570	1853
581	2574	1849
582	2578	1844
583	2582	1839
584	2586	1834
585	2590	1830
586	2594	1825
587	2598	1820
588	2602	1816
589	2607	1811
590	2610	1806
591	2614	1801
592	2618	1797
593	2622	1792
594	2626	1787
595	2630	1782
596	2634	1778
597	2638	1773
598	2642	1769
599	2646	1764
600	2651	1760
601	2655	1755
602	2659	1750
603	2663	1746
604	2667	1741
605	2671	1737
606	2675	1732
607	2679	1727
608	2683	1723
609	2688	1719
610	2692	1714
611	2696	1709
612	2701	1705
613	2705	1700
614	2709	1695
615	2713	1691
616	2717	1686
617	2721	1682
618	2725	1677
619	2729	1672
620	2734	1668
621	2739	1664
622	2743	1660
623	2747	1655
624	2751	1651
625	2755	1646
626	2759	1641
627	2763	1637
628	2767	1632
629	2771	1627
630	2776	1623
631	2780	1619
632	2784	1614
633	2788	1609
634	2792	1605
635	2798	1601
636	2802	1597
637	2806	1592
638	2811	1588
639	2815	1583
640	2818	1578
641	2822	1574
642	2827	1569
643	2831	1565
644	2835	1560
645	2839	1555
646	2844	1552
647	2848	1547
648	2852	1542
649	2856	1538
650	2861	1533
651	2865	1529
652	2868	1524
653	2873	1520
654	2878	1515
655	2881	1511
656	2885	1506
657	2890	1502
658	2895	1498
659	2899	1493
660	2904	1489
661	2909	1485
662	2913	1480
663	2917	1476
664	2922	1472
665	2927	1467
666	2931	1463
667	2936	1459
668	2941	1455
669	2946	1451
670	2950	1446
671	2957	1443
672	2961	1439
673	2966	1434
674	2971	1430
675	2976	1426
676	2980	1422
677	2985	1418
678	2990	1413
679	2995	1409
680	3000	1405
681	3004	1401
682	3009	1396
683	3014	1392
684	3019	1388
685	3024	1384
686	3028	1379
687	3033	1375
688	3038	1371
689	3043	1367
690	3048	1363
691	3053	1359
692	3057	1354
693	3062	1350
694	3068	1346
695	3072	1342
696	3076	1337
697	3081	1333
698	3085	1328
699	3089	1323
700	3092	1319
701	3096	1314
702	3100	1310
703	3104	1305
704	3108	1300
705	3113	1296
706	3117	1291
707	3121	1287
708	3125	1282
709	3130	1278
710	3134	1273
711	3137	1269
712	3142	1264
713	3147	1260
714	3151	1256
715	3155	1251
716	3160	1247
717	3165	1243
718	3170	1239
719	3175	1234
720	3180	1230
721	3184	1226
722	3189	1222
723	3194	1217
724	3199	1213
725	3203	1208
726	3207	1204
727	3211	1199
728	3215	1195
729	3219	1190
730	3223	1186
731	3227	1181
732	3230	1176
733	3235	1172
734	3240	1168
735	3244	1163
736	3248	1159
737	3252	1154
738	3256	1149
739	3260	1145
740	3263	1140
741	3267	1136
742	3271	1131
743	3275	1126
744	3278	1122
745	3282	1117
746	3286	1113
747	3290	1108
748	3294	1103
749	3298	1099
750	3302	1094
751	3306	1090
752	3310	1085
753	3314	1081
754	3319	1077
755	3323	1072
756	3327	1068
757	3334	1064
758	3339	1060
759	3343	1055
760	3348	1051
761	3353	1047
762	3357	1042
763	3361	1038
764	3366	1034
765	3371	1029
766	3375	1025
767	3380	1021
768	3385	1016
769	3389	1012
770	3394	1008
771	3399	1004
772	3403	999
773	3407	995
774	3413	990
775	3417	986
776	3422	982
777	3426	977
778	3431	973
779	3435	969
780	3439	964
781	3444	960
782	3449	955
783	3453	951
784	3458	947
785	3463	942
786	3467	938
787	3471	934
788	3478	930
789	3486	926
790	3491	922
791	3495	917
792	3499	913
793	3503	909
794	3507	904
795	3511	899
796	3515	895
797	3520	891
798	3524	886
799	3529	882
800	3534	878
801	3538	873
802	3542	869
803	3547	864
804	3552	860
805	3556	856
806	3560	851
807	3565	847
808	3569	842
809	3574	838
810	3578	833
811	3583	829
812	3587	825
813	3591	820
814	3596	816
815	3601	812
816	3605	807
817	3609	803
818	3614	798
819	3619	794
820	3624	790
821	3630	786
822	3635	781
823	3640	777
824	3646	773
825	3650	768
826	3655	764
827	3659	760
828	3663	755
829	3667	751
